BJD - 2454833, Corrected Flux
2320.402671910, 0.825397128,
2320.423103745, 0.824363522,
2320.443535780, 0.822881633,
2320.463967714, 0.820506514,
2320.484399548, 0.810763338,
2320.504831582, 0.803713477,
2320.525263515, 0.814096645,
2320.545695448, 0.823534796,
2320.566127381, 0.824245287,
2320.586559313, 0.825231832,
2320.606991245, 0.823036378,
2320.627423176, 0.824115467,
2320.647855108, 0.824751995,
2320.668287039, 0.824549644,
2320.688718969, 0.825011503,
2320.709150899, 0.824708672,
2320.729582829, 0.825703200,
2320.750014758, 0.825445911,
2320.790878716, 0.828633505,
2320.811310544, 0.829792734,
2320.831742472, 0.829628606,
2320.852174500, 0.830573397,
2320.872606327, 0.830414548,
2320.893038254, 0.830609093,
2320.913470281, 0.830639745,
2320.933902107, 0.830259902,
2320.954334033, 0.829681146,
2320.974766058, 0.832942349,
2320.995197884, 0.834293412,
2321.015629809, 0.833725930,
2321.036061833, 0.835702257,
2321.056493657, 0.835143912,
2321.076925681, 0.835700476,
2321.097357604, 0.834459307,
2321.117789528, 0.834697481,
2321.138221450, 0.833656573,
2321.158653373, 0.835148539,
2321.179085295, 0.833619050,
2321.199517216, 0.831146287,
2321.219949138, 0.829798439,
2321.240381059, 0.829216553,
2321.281244900, 0.824651081,
2321.301676820, 0.823823188,
2321.322108840, 0.823330121,
2321.342540659, 0.822315525,
2321.362972578, 0.821689785,
2321.383404496, 0.818840058,
2321.403836414, 0.804301940,
2321.424268232, 0.802188161,
2321.444700250, 0.815860401,
2321.465132167, 0.822681861,
2321.485564184, 0.823377262,
2321.505996001, 0.823360690,
2321.526427917, 0.824211869,
2321.546859933, 0.824159170,
2321.567291748, 0.825978785,
2321.587723663, 0.827086537,
2321.608155678, 0.828828262,
2321.628587593, 0.829159549,
2321.649019407, 0.828208633,
2321.669451420, 0.827815016,
2321.689883334, 0.828152532,
2321.710315147, 0.827683744,
2321.730747160, 0.829773277,
2321.771610884, 0.828070999,
2321.792042896, 0.828104353,
2321.812474807, 0.828976431,
2321.832906618, 0.829840480,
2321.853338629, 0.829093344,
2321.873770539, 0.830853364,
2321.894202549, 0.831275856,
